exposure_year,analysis_id,window_id,species,life_stage,window_start_date,window_end_date,primary_return_year,return_year_in_1997_2025,alignment_definition,expected_days,observed_grab_sample_dates,observed_grab_samples,t1_complete_days,t1_window_mean_proxy_c,t1_window_max_modeled_daily_proxy_c,t1_window_max_modeled_daily_proxy_date,t1_window_max_within_window_7day_mean_proxy_c,t1_window_max_within_window_7day_mean_date,t1_days_proxy_ge_17_5c,t1_days_proxy_ge_19c,t1_days_proxy_ge_21c,t1_longest_proxy_spell_ge_17_5c_days,t1_extrapolation_days,t1_extrapolation_pct,t2_complete_days,t2_window_mean_proxy_c,t2_window_max_modeled_daily_proxy_c,t2_window_max_modeled_daily_proxy_date,t2_window_max_within_window_7day_mean_proxy_c,t2_window_max_within_window_7day_mean_date,t2_days_proxy_ge_17_5c,t2_days_proxy_ge_19c,t2_days_proxy_ge_21c,t2_longest_proxy_spell_ge_17_5c_days,t2_extrapolation_days,t2_extrapolation_pct,t2_minus_t1_window_mean_c,value_status,metric_warning
2005,A5,jun_sep,Coho,juvenile_rearing,2005-06-01,2005-09-30,2007,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.228,16.526,2005-08-05,16.204,2005-08-01,0,0,0,0,0,0.0,122,14.257,16.534,2005-08-05,16.217,2005-08-01,0,0,0,0,0,0.0,0.028,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2005,A1,aug15_sep30,Chinook,adult_migration,2005-08-15,2005-09-30,2005,true,adult migration exposure_year = return_year,47,1,1,47,13.9,16.506,2005-08-15,15.653,2005-08-21,0,0,0,0,0,0.0,47,13.931,16.518,2005-08-15,15.677,2005-08-21,0,0,0,0,0,0.0,0.031,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2005,A3,sep15_oct31,Coho,adult_migration,2005-09-15,2005-10-31,2005,true,adult migration exposure_year = return_year,47,2,2,47,11.429,13.162,2005-09-15,12.707,2005-09-21,0,0,0,0,1,2.128,47,11.504,13.22,2005-09-15,12.749,2005-09-21,0,0,0,0,1,2.128,0.076,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2006,A5,jun_sep,Coho,juvenile_rearing,2006-06-01,2006-09-30,2008,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,6,6,122,14.75,19.001,2006-07-23,17.958,2006-07-27,4,1,0,4,3,2.459,122,14.736,19.002,2006-07-23,17.951,2006-07-27,4,1,0,4,3,2.459,-0.014,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2006,A1,aug15_sep30,Chinook,adult_migration,2006-08-15,2006-09-30,2006,true,adult migration exposure_year = return_year,47,4,4,47,14.278,16.044,2006-08-28,15.414,2006-09-07,0,0,0,0,0,0.0,47,14.28,16.047,2006-08-28,15.419,2006-09-07,0,0,0,0,0,0.0,0.003,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2006,A3,sep15_oct31,Coho,adult_migration,2006-09-15,2006-10-31,2006,true,adult migration exposure_year = return_year,47,2,2,47,11.411,14.444,2006-09-28,13.756,2006-10-01,0,0,0,0,0,0.0,47,11.456,14.492,2006-09-28,13.795,2006-10-01,0,0,0,0,0,0.0,0.045,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2007,A5,jun_sep,Coho,juvenile_rearing,2007-06-01,2007-09-30,2009,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,4,4,122,14.424,17.291,2007-07-11,16.895,2007-07-16,0,0,0,0,2,1.639,122,14.479,17.332,2007-07-11,16.972,2007-07-16,0,0,0,0,2,1.639,0.055,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2007,A1,aug15_sep30,Chinook,adult_migration,2007-08-15,2007-09-30,2007,true,adult migration exposure_year = return_year,47,1,1,47,14.004,15.771,2007-08-15,15.258,2007-09-04,0,0,0,0,1,2.128,47,14.053,15.841,2007-08-15,15.3,2007-09-04,0,0,0,0,1,2.128,0.049,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2007,A3,sep15_oct31,Coho,adult_migration,2007-09-15,2007-10-31,2007,true,adult migration exposure_year = return_year,47,1,1,47,10.664,13.958,2007-09-15,12.81,2007-09-21,0,0,0,0,1,2.128,47,10.675,14.037,2007-09-15,12.859,2007-09-21,0,0,0,0,1,2.128,0.011,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
2008,A5,jun_sep,Coho,juvenile_rearing,2008-06-01,2008-09-30,2010,true,primary Coho cohort proxy: exposure_year = return_year - 2,122,8,9,122,14.085,17.656,2008-08-16,16.82,2008-08-19,2,0,0,2,0,0.0,122,14.086,17.689,2008-08-16,16.871,2008-08-19,2,0,0,2,0,0.0,0.001,modeled_proxy_exposure_ready_for_exploratory_sensitivity_only,"Modeled grab-temperature proxies; daily maxima, threshold counts, and seven-day means are not observed/regulatory metrics"
